TOUCH   waitFrame = 171
122,177,0,0,CENTER,0,TOUCH,50
122,181,0,4,NORTH,90,SWIPE,50
122,187,0,6,NORTH,90,SWIPE,50
122,191,0,4,NORTH,90,SWIPE,50
124,197,2,6,NORTH,71.56505,SWIPE,50
128,203,4,6,NORTHEAST,56.30993,SWIPE,50
140,213,12,10,NORTHEAST,39.80557,SWIPE,50
150,217,10,4,EAST,21.80141,SWIPE,50
158,223,8,6,NORTHEAST,36.8699,SWIPE,50
172,231,14,8,NORTHEAST,29.74488,SWIPE,50
188,245,16,14,NORTHEAST,41.18592,SWIPE,50
190,247,2,2,NORTHEAST,45,SWIPE,50
196,255,6,8,NORTHEAST,53.1301,SWIPE,50
200,261,4,6,NORTHEAST,56.30993,SWIPE,50
200,265,0,4,NORTH,90,SWIPE,50
202,275,2,10,NORTH,78.69007,SWIPE,50
202,279,0,4,NORTH,90,SWIPE,50
202,283,0,4,NORTH,90,SWIPE,50
198,287,-4,4,NORTH,90,SWIPE,50
196,291,-2,4,NORTHWEST,116.565,SWIPE,50
190,297,-6,6,NORTHWEST,116.565,SWIPE,50
186,301,-4,4,NORTHWEST,116.565,SWIPE,50
180,303,-6,2,WEST,161.565,SWIPE,50
SEPARATE   holdFrame = 23
