FPS : 42
FPS : 61
FPS : 60
FPS : 60
TOUCH   waitFrame = 274
99,311,0,0,CENTER,0,TOUCH
99,311,0,0,CENTER,0,SWIPE
99,311,0,0,CENTER,0,SWIPE
99,311,0,0,CENTER,0,SWIPE
99,311,0,0,CENTER,0,SWIPE
99,311,0,0,CENTER,0,SWIPE
99,309,0,-2,SOUTH,-90,SWIPE
105,299,6,-10,SOUTHEAST,-59.03624,SWIPE
111,289,6,-10,SOUTHEAST,-59.03624,SWIPE
FPS : 61
117,281,6,-8,SOUTHEAST,-53.1301,SWIPE
119,277,2,-4,SOUTHEAST,-63.43495,SWIPE
119,277,0,0,SOUTHEAST,-63.43495,SWIPE
123,273,4,-4,SOUTHEAST,-63.43495,SWIPE
123,271,0,-2,SOUTH,-90,SWIPE
131,261,8,-10,SOUTHEAST,-51.34019,SWIPE
137,255,6,-6,SOUTHEAST,-51.34019,SWIPE
143,247,6,-8,SOUTHEAST,-53.1301,SWIPE
147,243,4,-4,SOUTHEAST,-53.1301,SWIPE
149,243,2,0,EAST,0,SWIPE
151,241,2,-2,EAST,0,SWIPE
153,241,2,0,EAST,0,SWIPE
153,241,0,0,EAST,0,SWIPE
155,241,2,0,EAST,0,SWIPE
163,239,8,-2,EAST,-14.03624,SWIPE
175,239,12,0,EAST,0,SWIPE
179,239,4,0,EAST,0,SWIPE
183,239,4,0,EAST,0,SWIPE
189,239,6,0,EAST,0,SWIPE
195,243,6,4,NORTHEAST,33.69007,SWIPE
199,247,4,4,NORTHEAST,45,SWIPE
205,255,6,8,NORTHEAST,53.1301,SWIPE
205,259,0,4,NORTH,90,SWIPE
207,263,2,4,NORTHEAST,63.43495,SWIPE
209,269,2,6,NORTH,71.56505,SWIPE
209,273,0,4,NORTH,90,SWIPE
209,279,0,6,NORTH,90,SWIPE
209,283,0,4,NORTH,90,SWIPE
209,285,0,2,NORTH,90,SWIPE
207,287,-2,2,NORTH,90,SWIPE
205,291,-2,4,NORTHWEST,116.565,SWIPE
203,293,-2,2,NORTHWEST,116.565,SWIPE
197,301,-6,8,NORTHWEST,126.8699,SWIPE
SEPARATE   holdFrame = 42
FPS : 60
FPS : 60
TOUCH   waitFrame = 142
141,227,0,0,NORTHWEST,126.8699,TOUCH
141,227,0,0,NORTHWEST,126.8699,SWIPE
141,227,0,0,NORTHWEST,126.8699,SWIPE
143,225,2,-2,NORTHWEST,126.8699,SWIPE
145,219,2,-6,SOUTH,-71.56505,SWIPE
FPS : 61
151,211,6,-8,SOUTHEAST,-53.1301,SWIPE
157,199,6,-12,SOUTHEAST,-63.43495,SWIPE
161,193,4,-6,SOUTHEAST,-56.30993,SWIPE
163,191,2,-2,SOUTHEAST,-56.30993,SWIPE
167,185,4,-6,SOUTHEAST,-56.30993,SWIPE
169,183,2,-2,SOUTHEAST,-56.30993,SWIPE
171,177,2,-6,SOUTH,-71.56505,SWIPE
175,175,4,-2,SOUTHEAST,-26.56505,SWIPE
175,173,0,-2,SOUTH,-90,SWIPE
179,171,4,-2,SOUTHEAST,-26.56505,SWIPE
181,171,2,0,EAST,0,SWIPE
181,169,0,-2,SOUTH,-90,SWIPE
185,169,4,0,EAST,0,SWIPE
187,169,2,0,EAST,0,SWIPE
199,169,12,0,EAST,0,SWIPE
207,169,8,0,EAST,0,SWIPE
211,171,4,2,NORTHEAST,26.56505,SWIPE
213,173,2,2,NORTHEAST,45,SWIPE
213,175,0,2,NORTH,90,SWIPE
215,179,2,4,NORTHEAST,63.43495,SWIPE
SEPARATE   holdFrame = 25
TOUCH   waitFrame = 10
207,185,0,0,NORTHEAST,63.43495,TOUCH
203,185,-4,0,WEST,180,SWIPE
193,185,-10,0,WEST,180,SWIPE
187,185,-6,0,WEST,180,SWIPE
183,185,-4,0,WEST,180,SWIPE
169,185,-14,0,WEST,180,SWIPE
157,185,-12,0,WEST,180,SWIPE
151,183,-6,-2,WEST,-161.565,SWIPE
145,183,-6,0,WEST,180,SWIPE
141,183,-4,0,WEST,180,SWIPE
SEPARATE   holdFrame = 10
TOUCH   waitFrame = 14
163,153,0,0,WEST,180,TOUCH
169,153,6,0,EAST,0,SWIPE
169,153,0,0,EAST,0,SWIPE
FPS : 59
169,153,0,0,EAST,0,SWIPE
175,147,6,-6,EAST,0,SWIPE
185,143,10,-4,EAST,-21.80141,SWIPE
SEPARATE   holdFrame = 6
TOUCH   waitFrame = 2
209,135,0,0,EAST,-21.80141,TOUCH
209,135,0,0,EAST,-21.80141,SWIPE
209,135,0,0,EAST,-21.80141,SWIPE
209,135,0,0,EAST,-21.80141,SWIPE
209,133,0,-2,SOUTH,-90,SWIPE
SEPARATE   holdFrame = 5
TOUCH   waitFrame = 15
125,175,0,0,SOUTH,-90,TOUCH
127,175,2,0,EAST,0,SWIPE
135,177,8,2,EAST,14.03624,SWIPE
151,181,16,4,EAST,14.03624,SWIPE
159,181,8,0,EAST,0,SWIPE
175,183,16,2,EAST,7.125017,SWIPE
SEPARATE   holdFrame = 6
FPS : 59
