TOUCH   waitFrame = 246
233,187,38,6,EAST,8.972627,SWIPE,57
259,207,26,20,NORTHEAST,37.56859,SWIPE,57
269,235,10,28,NORTH,70.34618,SWIPE,57
217,305,-52,70,NORTHWEST,126.6071,SWIPE,57
191,321,-26,16,NORTHWEST,148.3925,SWIPE,57
129,343,-62,22,WEST,160.4633,SWIPE,57
65,353,-64,10,WEST,171.1193,SWIPE,57
17,349,-48,-4,WEST,-175.2364,SWIPE,57
-1,325,-18,-24,SOUTHWEST,-126.8699,SWIPE,57
9,293,10,-32,SOUTH,-72.64597,SWIPE,57
45,251,36,-42,SOUTHEAST,-49.3987,SWIPE,57
103,213,58,-38,SOUTHEAST,-33.23171,SWIPE,57
243,183,140,-30,EAST,-12.09476,SWIPE,57
267,185,24,2,EAST,4.763642,SWIPE,57
301,203,34,18,NORTHEAST,27.89727,SWIPE,57
317,241,16,38,NORTHEAST,67.16634,SWIPE,57
311,255,-6,14,NORTHWEST,113.1986,SWIPE,57
285,281,-26,26,NORTHWEST,113.1986,SWIPE,57
227,307,-58,26,NORTHWEST,155.8545,SWIPE,57
167,319,-60,12,WEST,168.6901,SWIPE,57
81,319,-86,0,WEST,180,SWIPE,57
51,291,-30,-28,SOUTHWEST,-136.9749,SWIPE,57
55,269,4,-22,SOUTH,-79.69515,SWIPE,57
91,241,36,-28,SOUTHEAST,-37.87498,SWIPE,57
139,223,48,-18,EAST,-20.55605,SWIPE,57
197,213,58,-10,EAST,-9.782407,SWIPE,57
247,219,50,6,EAST,6.842773,SWIPE,57
277,237,30,18,NORTHEAST,30.96376,SWIPE,57
285,263,8,26,NORTH,72.89727,SWIPE,57
269,285,-16,22,NORTHWEST,126.0274,SWIPE,57
161,325,-108,40,WEST,159.6769,SWIPE,57
119,329,-42,4,WEST,174.5597,SWIPE,57
39,331,-80,2,WEST,178.5679,SWIPE,57
-21,307,-60,-24,WEST,-158.1986,SWIPE,57
-33,275,-12,-32,SOUTH,-110.556,SWIPE,57
-17,241,16,-34,SOUTHEAST,-64.79888,SWIPE,57
41,199,58,-42,SOUTHEAST,-35.90973,SWIPE,57
101,173,60,-26,SOUTHEAST,-23.42869,SWIPE,57
183,163,82,-10,EAST,-6.952958,SWIPE,57
221,185,38,22,NORTHEAST,30.06858,SWIPE,57
217,217,-4,32,NORTH,97.12502,SWIPE,57
207,233,-10,16,NORTHWEST,122.0054,SWIPE,57
169,265,-38,32,NORTHWEST,139.8991,SWIPE,57
75,307,-94,42,NORTHWEST,155.9245,SWIPE,57
17,311,-58,4,WEST,176.0548,SWIPE,57
-13,301,-30,-10,WEST,-161.565,SWIPE,57
-13,271,0,-30,SOUTH,-90,SWIPE,57
15,233,28,-38,SOUTHEAST,-53.61565,SWIPE,57
123,157,108,-76,SOUTHEAST,-35.13419,SWIPE,57
151,143,28,-14,SOUTHEAST,-26.56505,SWIPE,57
203,125,52,-18,EAST,-19.09349,SWIPE,57
247,131,44,6,EAST,7.765166,SWIPE,57
265,151,18,20,NORTHEAST,48.01279,SWIPE,57
265,199,0,48,NORTH,90,SWIPE,57
253,219,-12,20,NORTHWEST,120.9638,SWIPE,57
215,251,-38,32,NORTHWEST,139.8991,SWIPE,57
119,287,-96,36,WEST,159.444,SWIPE,57
51,289,-68,2,WEST,178.3153,SWIPE,57
39,281,-12,-8,SOUTHWEST,-146.3099,SWIPE,57
35,255,-4,-26,SOUTH,-98.74616,SWIPE,57
47,225,12,-30,SOUTH,-68.19859,SWIPE,57
93,185,46,-40,SOUTHEAST,-41.00909,SWIPE,57
145,159,52,-26,SOUTHEAST,-26.56505,SWIPE,57
231,147,86,-12,EAST,-7.943472,SWIPE,57
273,151,42,4,EAST,5.440332,SWIPE,57
295,167,22,16,NORTHEAST,36.02737,SWIPE,57
161,269,-134,102,NORTHWEST,142.7218,SWIPE,57
127,271,-34,2,WEST,176.6335,SWIPE,57
65,265,-62,-6,WEST,-174.4725,SWIPE,57
19,239,-46,-26,SOUTHWEST,-150.5241,SWIPE,57
-1,209,-20,-30,SOUTHWEST,-123.6901,SWIPE,57
-11,177,-10,-32,SOUTH,-107.354,SWIPE,57
-21,153,-10,-24,SOUTHWEST,-112.6199,SWIPE,57
-33,157,-12,4,WEST,161.565,SWIPE,57
-51,175,-18,18,WEST,161.565,SWIPE,57
-83,211,-32,36,NORTHWEST,131.6335,SWIPE,57
-109,253,-26,42,NORTHWEST,121.7595,SWIPE,57
-117,289,-8,36,NORTH,102.5288,SWIPE,57
-101,321,16,32,NORTHEAST,63.43495,SWIPE,57
-63,347,38,26,NORTHEAST,34.38034,SWIPE,57
1,357,64,10,EAST,8.880659,SWIPE,57
69,357,68,0,EAST,0,SWIPE,57
221,333,152,-24,EAST,-8.972627,SWIPE,57
249,327,28,-6,EAST,-12.09476,SWIPE,57
293,317,44,-10,EAST,-12.80427,SWIPE,57
307,313,14,-4,EAST,-15.9454,SWIPE,57
309,313,2,0,EAST,0,SWIPE,57
309,313,0,0,EAST,0,SWIPE,57
303,313,-6,0,WEST,180,SWIPE,57
275,315,-28,2,WEST,175.9144,SWIPE,57
217,327,-58,12,WEST,168.3106,SWIPE,57
59,365,-158,38,WEST,166.4769,SWIPE,57
9,377,-50,12,WEST,166.5043,SWIPE,57
-29,389,-38,12,WEST,162.4744,SWIPE,57
-37,395,-8,6,NORTHWEST,143.1301,SWIPE,57
-33,411,4,16,NORTH,75.96376,SWIPE,57
-13,427,20,16,NORTHEAST,38.65981,SWIPE,57
SEPARATE   holdFrame = 211
