TOUCH   waitFrame = 34
124,232,0,0,CENTER,0,TOUCH,1
120,224,-4,-8,SOUTHWEST,243.435,SWIPE,1
108,206,-12,-18,SOUTHWEST,236.3099,SWIPE,1
100,192,-8,-14,SOUTHWEST,240.2551,SWIPE,1
92,178,-8,-14,SOUTHWEST,240.2551,SWIPE,1
86,152,-6,-26,SOUTH,257.0054,SWIPE,1
84,138,-2,-14,SOUTH,261.8699,SWIPE,1
86,126,2,-12,SOUTH,279.4623,SWIPE,1
90,122,4,-4,SOUTH,279.4623,SWIPE,1
102,112,12,-10,SOUTHEAST,320.1944,SWIPE,1
116,110,14,-2,EAST,351.8699,SWIPE,1
140,110,24,0,EAST,0,SWIPE,1
154,114,14,4,EAST,15.9454,SWIPE,1
160,118,6,4,NORTHEAST,33.69007,SWIPE,1
168,124,8,6,NORTHEAST,36.8699,SWIPE,1
176,136,8,12,NORTHEAST,56.30993,SWIPE,1
188,152,12,16,NORTHEAST,53.1301,SWIPE,1
192,162,4,10,NORTH,68.19859,SWIPE,50
198,176,6,14,NORTHEAST,66.80141,SWIPE,50
208,198,10,22,NORTHEAST,65.55605,SWIPE,50
212,220,4,22,NORTH,79.69515,SWIPE,50
212,232,0,12,NORTH,90,SWIPE,50
210,246,-2,14,NORTH,98.1301,SWIPE,50
202,266,-8,20,NORTH,111.8014,SWIPE,50
196,276,-6,10,NORTHWEST,120.9638,SWIPE,50
182,290,-14,14,NORTHWEST,120.9638,SWIPE,50
172,294,-10,4,WEST,158.1986,SWIPE,50
160,298,-12,4,WEST,161.565,SWIPE,50
150,298,-10,0,WEST,180,SWIPE,50
140,298,-10,0,WEST,180,SWIPE,50
134,286,-6,-12,SOUTHWEST,243.435,SWIPE,50
130,272,-4,-14,SOUTH,254.0546,SWIPE,50
130,252,0,-20,SOUTH,270,SWIPE,50
132,220,2,-32,SOUTH,273.5763,SWIPE,50
138,202,6,-18,SOUTH,288.4349,SWIPE,50
146,178,8,-24,SOUTH,288.4349,SWIPE,50
148,164,2,-14,SOUTH,278.1301,SWIPE,50
148,150,0,-14,SOUTH,270,SWIPE,50
144,136,-4,-14,SOUTH,254.0546,SWIPE,50
132,122,-12,-14,SOUTHWEST,229.3987,SWIPE,50
124,114,-8,-8,SOUTHWEST,225,SWIPE,50
110,110,-14,-4,WEST,195.9454,SWIPE,50
100,108,-10,-2,WEST,191.3099,SWIPE,50
88,112,-12,4,WEST,161.565,SWIPE,50
64,122,-24,10,NORTHWEST,157.3801,SWIPE,50
44,132,-20,10,NORTHWEST,153.435,SWIPE,50
18,154,-26,22,NORTHWEST,139.7637,SWIPE,50
10,162,-8,8,NORTHWEST,139.7637,SWIPE,50
6,172,-4,10,NORTH,111.8014,SWIPE,50
4,186,-2,14,NORTH,98.1301,SWIPE,50
4,194,0,8,NORTH,90,SWIPE,50
20,210,16,16,NORTHEAST,45,SWIPE,50
34,216,14,6,NORTHEAST,23.19859,SWIPE,50
60,222,26,6,EAST,12.99462,SWIPE,50
76,222,16,0,EAST,0,SWIPE,50
106,216,30,-6,EAST,348.6901,SWIPE,50
130,202,24,-14,SOUTHEAST,329.7436,SWIPE,50
142,190,12,-12,SOUTHEAST,329.7436,SWIPE,50
152,174,10,-16,SOUTHEAST,302.0054,SWIPE,50
158,156,6,-18,SOUTH,288.4349,SWIPE,50
160,132,2,-24,SOUTH,274.7636,SWIPE,50
160,120,0,-12,SOUTH,270,SWIPE,50
158,110,-2,-10,SOUTH,258.6901,SWIPE,50
154,94,-4,-16,SOUTH,255.9637,SWIPE,50
152,84,-2,-10,SOUTH,258.6901,SWIPE,50
