TOUCH   waitFrame = 45
65,283,0,0,CENTER,0,TOUCH,-1
65,275,0,-8,SOUTH,-90,SWIPE,-1
65,273,0,-2,SOUTH,-90,SWIPE,-1
65,269,0,-4,SOUTH,-90,SWIPE,-1
65,265,0,-4,SOUTH,-90,SWIPE,-1
65,261,0,-4,SOUTH,-90,SWIPE,-1
65,257,0,-4,SOUTH,-90,SWIPE,52
65,247,0,-10,SOUTH,-90,SWIPE,52
65,231,0,-16,SOUTH,-90,SWIPE,52
65,231,0,0,SOUTH,-90,SWIPE,52
71,219,6,-12,SOUTHEAST,-63.43495,SWIPE,52
75,217,4,-2,SOUTHEAST,-26.56505,SWIPE,52
79,213,4,-4,SOUTHEAST,-26.56505,SWIPE,52
85,209,6,-4,SOUTHEAST,-33.69007,SWIPE,52
95,207,10,-2,EAST,-11.30993,SWIPE,52
109,205,14,-2,EAST,-8.130102,SWIPE,52
125,199,16,-6,EAST,-20.55605,SWIPE,52
127,199,2,0,EAST,0,SWIPE,52
131,197,4,-2,SOUTHEAST,-26.56505,SWIPE,52
135,193,4,-4,SOUTHEAST,-26.56505,SWIPE,52
143,181,8,-12,SOUTHEAST,-56.30993,SWIPE,52
149,171,6,-10,SOUTHEAST,-59.03624,SWIPE,52
151,161,2,-10,SOUTH,-78.69007,SWIPE,52
151,141,0,-20,SOUTH,-90,SWIPE,52
151,123,0,-18,SOUTH,-90,SWIPE,52
149,121,-2,-2,SOUTHWEST,-135,SWIPE,52
149,117,0,-4,SOUTH,-90,SWIPE,52
143,115,-6,-2,WEST,-161.565,SWIPE,52
131,113,-12,-2,WEST,-170.5377,SWIPE,52
123,113,-8,0,WEST,180,SWIPE,52
111,119,-12,6,NORTHWEST,153.435,SWIPE,52
103,127,-8,8,NORTHWEST,153.435,SWIPE,52
89,143,-14,16,NORTHWEST,131.1859,SWIPE,52
85,151,-4,8,NORTHWEST,116.565,SWIPE,52
85,165,0,14,NORTH,90,SWIPE,52
87,173,2,8,NORTH,75.96376,SWIPE,52
93,181,6,8,NORTHEAST,53.1301,SWIPE,52
99,189,6,8,NORTHEAST,53.1301,SWIPE,52
115,203,16,14,NORTHEAST,41.18592,SWIPE,52
131,215,16,12,NORTHEAST,36.8699,SWIPE,52
151,233,20,18,NORTHEAST,41.98721,SWIPE,52
155,237,4,4,NORTHEAST,45,SWIPE,52
163,249,8,12,NORTHEAST,56.30993,SWIPE,52
171,263,8,14,NORTHEAST,60.25512,SWIPE,52
175,287,4,24,NORTH,80.53768,SWIPE,52
175,293,0,6,NORTH,90,SWIPE,52
171,303,-4,10,NORTH,111.8014,SWIPE,52
161,321,-10,18,NORTHWEST,119.0546,SWIPE,52
151,337,-10,16,NORTHWEST,122.0054,SWIPE,52
147,341,-4,4,NORTHWEST,122.0054,SWIPE,52
129,351,-18,10,NORTHWEST,150.9454,SWIPE,52
125,355,-4,4,NORTHWEST,150.9454,SWIPE,52
121,355,-4,0,WEST,180,SWIPE,52
109,345,-12,-10,SOUTHWEST,-140.1944,SWIPE,52
105,335,-4,-10,SOUTH,-111.8014,SWIPE,52
105,299,0,-36,SOUTH,-90,SWIPE,52
109,291,4,-8,SOUTHEAST,-63.43495,SWIPE,50
117,275,8,-16,SOUTHEAST,-63.43495,SWIPE,50
129,259,12,-16,SOUTHEAST,-53.1301,SWIPE,50
151,237,22,-22,SOUTHEAST,-53.1301,SWIPE,50
171,217,20,-20,SOUTHEAST,-53.1301,SWIPE,50
177,205,6,-12,SOUTHEAST,-63.43495,SWIPE,50
181,193,4,-12,SOUTH,-71.56505,SWIPE,50
183,177,2,-16,SOUTH,-82.87498,SWIPE,50
181,159,-2,-18,SOUTH,-96.34019,SWIPE,50
177,153,-4,-6,SOUTHWEST,-123.6901,SWIPE,50
171,145,-6,-8,SOUTHWEST,-126.8699,SWIPE,50
165,143,-6,-2,WEST,-161.565,SWIPE,50
161,143,-4,0,WEST,180,SWIPE,50
155,147,-6,4,NORTHWEST,146.3099,SWIPE,50
137,159,-18,12,NORTHWEST,146.3099,SWIPE,50
131,169,-6,10,NORTHWEST,120.9638,SWIPE,50
123,199,-8,30,NORTH,104.9314,SWIPE,50
123,209,0,10,NORTH,90,SWIPE,50
125,225,2,16,NORTH,82.87498,SWIPE,50
135,245,10,20,NORTHEAST,63.43495,SWIPE,50
163,277,28,32,NORTHEAST,48.81408,SWIPE,50
185,297,22,20,NORTHEAST,42.27369,SWIPE,50
203,313,18,16,NORTHEAST,41.63354,SWIPE,50
225,337,22,24,NORTHEAST,47.48956,SWIPE,50
239,361,14,24,NORTHEAST,59.74356,SWIPE,50
247,381,8,20,NORTH,68.19859,SWIPE,50
251,407,4,26,NORTH,81.25384,SWIPE,50
249,429,-2,22,NORTH,95.19443,SWIPE,50
233,455,-16,26,NORTHWEST,121.6075,SWIPE,50
227,463,-6,8,NORTHWEST,126.8699,SWIPE,50
197,493,-30,30,NORTHWEST,126.8699,SWIPE,50
167,511,-30,18,NORTHWEST,149.0362,SWIPE,50
145,525,-22,14,NORTHWEST,147.5288,SWIPE,50
139,531,-6,6,NORTHWEST,147.5288,SWIPE,50
125,547,-14,16,NORTHWEST,131.1859,SWIPE,50
111,563,-14,16,NORTHWEST,131.1859,SWIPE,50
87,593,-24,30,NORTHWEST,128.6598,SWIPE,50
81,603,-6,10,NORTHWEST,120.9638,SWIPE,50
75,615,-6,12,NORTHWEST,116.565,SWIPE,50
73,621,-2,6,NORTH,108.435,SWIPE,50
SEPARATE   holdFrame = 96
TOUCH   waitFrame = 33
77,305,0,0,CENTER,0,TOUCH,-1
77,305,0,0,CENTER,0,SWIPE,-1
79,301,2,-4,SOUTHEAST,-63.43495,SWIPE,-1
75,293,-4,-8,SOUTHWEST,-116.565,SWIPE,-1
69,267,-6,-26,SOUTH,-102.9946,SWIPE,-1
67,257,-2,-10,SOUTH,-101.3099,SWIPE,-1
67,239,0,-18,SOUTH,-90,SWIPE,-1
87,217,20,-22,SOUTHEAST,-47.72631,SWIPE,-1
107,213,20,-4,EAST,-11.30993,SWIPE,-1
133,213,26,0,EAST,0,SWIPE,-1
153,217,20,4,EAST,11.30993,SWIPE,-1
177,237,24,20,NORTHEAST,39.80557,SWIPE,-1
191,259,14,22,NORTHEAST,57.5288,SWIPE,-1
195,283,4,24,NORTH,80.53768,SWIPE,-1
195,295,0,12,NORTH,90,SWIPE,-1
187,305,-8,10,NORTHWEST,128.6598,SWIPE,-1
179,313,-8,8,NORTHWEST,128.6598,SWIPE,-1
157,321,-22,8,WEST,160.0169,SWIPE,-1
145,325,-12,4,WEST,161.565,SWIPE,52
131,329,-14,4,WEST,164.0546,SWIPE,52
129,331,-2,2,WEST,164.0546,SWIPE,52
129,331,0,0,WEST,164.0546,SWIPE,52
SEPARATE   holdFrame = 22
TOUCH   waitFrame = 133
131,239,0,0,CENTER,0,TOUCH,50
131,239,0,0,CENTER,0,SWIPE,50
131,239,0,0,CENTER,0,SWIPE,50
125,233,-6,-6,SOUTHWEST,-135,SWIPE,50
119,219,-6,-14,SOUTHWEST,-113.1986,SWIPE,50
121,209,2,-10,SOUTH,-78.69007,SWIPE,50
129,199,8,-10,SOUTHEAST,-51.34019,SWIPE,50
141,187,12,-12,SOUTHEAST,-51.34019,SWIPE,50
161,167,20,-20,SOUTHEAST,-51.34019,SWIPE,50
163,165,2,-2,SOUTHEAST,-51.34019,SWIPE,50
169,157,6,-8,SOUTHEAST,-53.1301,SWIPE,50
173,143,4,-14,SOUTH,-74.0546,SWIPE,50
