TOUCH   waitFrame = 112
175,137,-6,-4,SOUTHWEST,-146.3099,SWIPE,48
171,133,-4,-4,SOUTHWEST,-135,SWIPE,48
161,131,-10,-2,WEST,-168.6901,SWIPE,48
155,129,-6,-2,WEST,-161.565,SWIPE,48
143,129,-12,0,WEST,180,SWIPE,48
135,129,-8,0,WEST,180,SWIPE,48
125,129,-10,0,WEST,180,SWIPE,48
121,131,-4,2,NORTHWEST,153.435,SWIPE,48
115,135,-6,4,NORTHWEST,146.3099,SWIPE,48
111,137,-4,2,NORTHWEST,153.435,SWIPE,48
97,149,-14,12,NORTHWEST,139.3987,SWIPE,48
93,151,-4,2,NORTHWEST,153.435,SWIPE,48
83,167,-10,16,NORTHWEST,122.0054,SWIPE,48
77,175,-6,8,NORTHWEST,126.8699,SWIPE,48
75,187,-2,12,NORTH,99.46233,SWIPE,48
75,195,0,8,NORTH,90,SWIPE,49
77,211,2,16,NORTH,82.87498,SWIPE,49
81,217,4,6,NORTHEAST,56.30993,SWIPE,49
93,229,12,12,NORTHEAST,45,SWIPE,49
97,231,4,2,NORTHEAST,26.56505,SWIPE,49
109,237,12,6,NORTHEAST,26.56505,SWIPE,49
123,241,14,4,EAST,15.9454,SWIPE,49
139,247,16,6,EAST,20.55605,SWIPE,49
155,251,16,4,EAST,14.03624,SWIPE,49
167,253,12,2,EAST,9.462322,SWIPE,49
181,257,14,4,EAST,15.9454,SWIPE,49
207,269,26,12,NORTHEAST,24.77514,SWIPE,49
209,271,2,2,NORTHEAST,45,SWIPE,49
217,277,8,6,NORTHEAST,36.8699,SWIPE,49
227,289,10,12,NORTHEAST,50.19443,SWIPE,49
231,297,4,8,NORTHEAST,63.43495,SWIPE,49
239,313,8,16,NORTHEAST,63.43495,SWIPE,49
241,323,2,10,NORTH,78.69007,SWIPE,49
241,339,0,16,NORTH,90,SWIPE,49
241,355,0,16,NORTH,90,SWIPE,49
237,361,-4,6,NORTHWEST,123.6901,SWIPE,49
235,369,-2,8,NORTH,104.0362,SWIPE,49
229,373,-6,4,NORTHWEST,146.3099,SWIPE,49
221,377,-8,4,NORTHWEST,153.435,SWIPE,49
215,377,-6,0,WEST,180,SWIPE,49
203,377,-12,0,WEST,180,SWIPE,49
195,373,-8,-4,SOUTHWEST,-153.435,SWIPE,49
