84,335,0,0,CENTER,0,TOUCH
72,269,-12,-66,SOUTH,-100.3048,SWIPE
138,159,66,-110,SOUTHEAST,-59.03624,SWIPE
144,159,6,0,EAST,0,SWIPE
156,155,12,-4,EAST,-18.43495,SWIPE
170,153,14,-2,EAST,-8.130102,SWIPE
194,151,24,-2,EAST,-4.763642,SWIPE
198,151,4,0,EAST,0,SWIPE
204,151,6,0,EAST,0,SWIPE
204,151,0,0,EAST,0,SWIPE
210,153,6,2,EAST,18.43495,SWIPE
216,155,6,2,EAST,18.43495,SWIPE
230,163,14,8,NORTHEAST,29.74488,SWIPE
236,167,6,4,NORTHEAST,33.69007,SWIPE
252,173,16,6,EAST,20.55605,SWIPE
266,183,14,10,NORTHEAST,35.53768,SWIPE
274,195,8,12,NORTHEAST,56.30993,SWIPE
278,205,4,10,NORTH,68.19859,SWIPE
282,217,4,12,NORTH,71.56505,SWIPE
284,225,2,8,NORTH,75.96376,SWIPE
286,233,2,8,NORTH,75.96376,SWIPE
286,241,0,8,NORTH,90,SWIPE
286,251,0,10,NORTH,90,SWIPE
284,273,-2,22,NORTH,95.19443,SWIPE
280,285,-4,12,NORTH,108.435,SWIPE
278,295,-2,10,NORTH,101.3099,SWIPE
272,309,-6,14,NORTHWEST,113.1986,SWIPE
266,319,-6,10,NORTHWEST,120.9638,SWIPE
262,325,-4,6,NORTHWEST,123.6901,SWIPE
256,333,-6,8,NORTHWEST,126.8699,SWIPE
252,339,-4,6,NORTHWEST,123.6901,SWIPE
244,345,-8,6,NORTHWEST,143.1301,SWIPE
234,349,-10,4,WEST,158.1986,SWIPE
218,355,-16,6,WEST,159.444,SWIPE
200,359,-18,4,WEST,167.4712,SWIPE
174,361,-26,2,WEST,175.6013,SWIPE
160,361,-14,0,WEST,180,SWIPE
150,357,-10,-4,WEST,-158.1986,SWIPE
140,351,-10,-6,SOUTHWEST,-149.0362,SWIPE
130,347,-10,-4,WEST,-158.1986,SWIPE
128,345,-2,-2,SOUTHWEST,-135,SWIPE
126,345,-2,0,WEST,180,SWIPE
126,345,0,0,WEST,180,SWIPE
126,345,0,0,WEST,180,SWIPE
122,133,0,0,WEST,180,TOUCH
126,137,4,4,NORTHEAST,45,SWIPE
140,141,14,4,EAST,15.9454,SWIPE
156,145,16,4,EAST,14.03624,SWIPE
172,147,16,2,EAST,7.125017,SWIPE
188,147,16,0,EAST,0,SWIPE
200,147,12,0,EAST,0,SWIPE
214,147,14,0,EAST,0,SWIPE
222,147,8,0,EAST,0,SWIPE
236,147,14,0,EAST,0,SWIPE
246,149,10,2,EAST,11.30993,SWIPE
260,151,14,2,EAST,8.130102,SWIPE
270,157,10,6,NORTHEAST,30.96376,SWIPE
272,165,2,8,NORTH,75.96376,SWIPE
272,179,0,14,NORTH,90,SWIPE
272,195,0,16,NORTH,90,SWIPE
266,225,-6,30,NORTH,101.3099,SWIPE
260,241,-6,16,NORTH,110.556,SWIPE
242,267,-18,26,NORTHWEST,124.6952,SWIPE
236,275,-6,8,NORTHWEST,126.8699,SWIPE
222,291,-14,16,NORTHWEST,131.1859,SWIPE
200,307,-22,16,NORTHWEST,143.9726,SWIPE
188,313,-12,6,NORTHWEST,153.435,SWIPE
182,315,-6,2,WEST,161.565,SWIPE
180,315,-2,0,WEST,180,SWIPE
176,307,-4,-8,SOUTHWEST,-116.565,SWIPE
174,289,-2,-18,SOUTH,-96.34019,SWIPE
176,201,2,-88,SOUTH,-88.69804,SWIPE
186,169,10,-32,SOUTH,-72.64597,SWIPE
198,145,12,-24,SOUTHEAST,-63.43495,SWIPE
204,133,6,-12,SOUTHEAST,-63.43495,SWIPE
208,131,4,-2,SOUTHEAST,-26.56505,SWIPE
210,129,2,-2,SOUTHEAST,-26.56505,SWIPE
218,129,8,0,EAST,0,SWIPE
234,139,16,10,NORTHEAST,32.00538,SWIPE
250,153,16,14,NORTHEAST,41.18592,SWIPE
268,175,18,22,NORTHEAST,50.71059,SWIPE
276,199,8,24,NORTH,71.56505,SWIPE
278,233,2,34,NORTH,86.63354,SWIPE
278,251,0,18,NORTH,90,SWIPE
274,265,-4,14,NORTH,105.9454,SWIPE
270,277,-4,12,NORTH,108.435,SWIPE
266,279,-4,2,NORTHWEST,153.435,SWIPE
258,283,-8,4,NORTHWEST,153.435,SWIPE
242,285,-16,2,WEST,172.875,SWIPE
