TOUCH   waitFrame = 21
234,390,0,0,CENTER,0,TOUCH,22
224,386,-10,-4,WEST,-158.1986,SWIPE,23
216,384,-8,-2,WEST,-165.9638,SWIPE,24
180,372,-36,-12,WEST,-161.565,SWIPE,25
134,354,-46,-18,WEST,-158.6294,SWIPE,26
92,326,-42,-28,SOUTHWEST,-146.3099,SWIPE,27
80,292,-12,-34,SOUTH,-109.44,SWIPE,28
88,258,8,-34,SOUTH,-76.75948,SWIPE,29
128,218,40,-40,SOUTH,-76.75948,SWIPE,30
172,198,44,-20,SOUTHEAST,-24.44395,SWIPE,31
240,180,68,-18,EAST,-14.82648,SWIPE,32
256,178,16,-2,EAST,-7.125017,SWIPE,33
272,176,16,-2,EAST,-7.125017,SWIPE,34
268,172,-4,-4,SOUTHWEST,-135,SWIPE,35
252,162,-16,-10,SOUTHWEST,-147.9946,SWIPE,36
228,152,-24,-10,SOUTHWEST,-157.3801,SWIPE,37
204,148,-24,-4,WEST,-170.5377,SWIPE,38
192,152,-12,4,WEST,161.565,SWIPE,39
178,166,-14,14,WEST,161.565,SWIPE,40
158,198,-20,32,NORTHWEST,122.0054,SWIPE,41
146,226,-12,28,NORTHWEST,113.1986,SWIPE,42
144,266,-2,40,NORTH,92.8624,SWIPE,43
180,304,36,38,NORTHEAST,46.54816,SWIPE,44
238,340,58,36,NORTHEAST,31.82745,SWIPE,45
316,378,78,38,NORTHEAST,25.97439,SWIPE,46
362,398,46,20,NORTHEAST,23.49857,SWIPE,47
378,412,16,14,NORTHEAST,41.18592,SWIPE,48
370,416,-8,4,NORTHWEST,153.435,SWIPE,49
340,416,-30,0,WEST,180,SWIPE,50
318,414,-22,-2,WEST,-174.8056,SWIPE,0
SEPARATE   holdFrame = 30
TOUCH   waitFrame = 34
52,190,0,0,WEST,-174.8056,TOUCH,36
118,158,66,-32,SOUTHEAST,-25.86636,SWIPE,37
164,154,46,-4,EAST,-4.969741,SWIPE,38
190,162,26,8,EAST,17.10273,SWIPE,39
206,180,16,18,NORTHEAST,48.36646,SWIPE,40
214,218,8,38,NORTH,78.11134,SWIPE,41
218,254,4,36,NORTH,83.65981,SWIPE,42
216,294,-2,40,NORTH,92.8624,SWIPE,43
204,330,-12,36,NORTH,108.435,SWIPE,44
SEPARATE   holdFrame = 9
TOUCH   waitFrame = 26
204,408,0,0,NORTH,108.435,TOUCH,12
204,408,0,0,NORTH,108.435,SWIPE,13
204,408,0,0,NORTH,108.435,SWIPE,14
204,408,0,0,NORTH,108.435,SWIPE,15
204,408,0,0,NORTH,108.435,SWIPE,16
SEPARATE   holdFrame = 5
TOUCH   waitFrame = 13
186,394,0,0,NORTH,108.435,TOUCH,31
182,390,-4,-4,SOUTHWEST,-135,SWIPE,32
174,386,-8,-4,SOUTHWEST,-153.435,SWIPE,33
164,382,-10,-4,WEST,-158.1986,SWIPE,34
SEPARATE   holdFrame = 4
TOUCH   waitFrame = 4
104,348,0,0,WEST,-158.1986,TOUCH,40
100,334,-4,-14,SOUTH,-105.9454,SWIPE,41
100,326,0,-8,SOUTH,-90,SWIPE,42
100,320,0,-6,SOUTH,-90,SWIPE,43
104,316,4,-4,SOUTH,-90,SWIPE,44
SEPARATE   holdFrame = 5
TOUCH   waitFrame = 2
144,288,0,0,SOUTH,-90,TOUCH,48
154,262,10,-26,SOUTH,-68.96249,SWIPE,49
156,244,2,-18,SOUTH,-83.65981,SWIPE,50
158,228,2,-16,SOUTH,-82.87498,SWIPE,51
158,218,0,-10,SOUTH,-90,SWIPE,52
158,212,0,-6,SOUTH,-90,SWIPE,53
156,210,-2,-2,SOUTHWEST,-135,SWIPE,54
142,208,-14,-2,WEST,-171.8699,SWIPE,55
106,208,-36,0,WEST,180,SWIPE,56
84,208,-22,0,WEST,180,SWIPE,57
66,206,-18,-2,WEST,-173.6598,SWIPE,58
56,202,-10,-4,WEST,-158.1986,SWIPE,59
52,202,-4,0,WEST,180,SWIPE,60
52,204,0,2,NORTH,90,SWIPE,0
50,208,-2,4,NORTHWEST,116.565,SWIPE,1
48,216,-2,8,NORTH,104.0362,SWIPE,2
SEPARATE   holdFrame = 16
