TOUCH   waitFrame = 16
67,379,28,30,NORTHEAST,46.97493,SWIPE,47
93,397,26,18,NORTHEAST,34.69516,SWIPE,47
119,413,26,16,NORTHEAST,31.6075,SWIPE,47
153,441,34,28,NORTHEAST,39.47246,SWIPE,47
173,461,20,20,NORTHEAST,45,SWIPE,47
179,489,6,28,NORTH,77.90524,SWIPE,47
177,497,-2,8,NORTH,104.0362,SWIPE,47
161,515,-16,18,NORTHWEST,131.6335,SWIPE,47
143,525,-18,10,NORTHWEST,150.9454,SWIPE,47
119,531,-24,6,WEST,165.9638,SWIPE,47
103,533,-16,2,WEST,172.875,SWIPE,50
91,533,-12,0,WEST,180,SWIPE,50
75,523,-16,-10,SOUTHWEST,-147.9946,SWIPE,50
59,487,-16,-36,SOUTHWEST,-113.9625,SWIPE,50
59,473,0,-14,SOUTH,-90,SWIPE,50
63,443,4,-30,SOUTH,-82.40536,SWIPE,50
81,407,18,-36,SOUTHEAST,-63.43495,SWIPE,50
127,351,46,-56,SOUTHEAST,-50.59934,SWIPE,50
153,329,26,-22,SOUTHEAST,-40.23636,SWIPE,50
179,307,26,-22,SOUTHEAST,-40.23636,SWIPE,50
183,301,4,-6,SOUTHEAST,-56.30993,SWIPE,50
183,299,0,-2,SOUTH,-90,SWIPE,50
177,299,-6,0,WEST,180,SWIPE,50
173,299,-4,0,WEST,180,SWIPE,50
153,305,-20,6,WEST,163.3008,SWIPE,50
105,327,-48,22,NORTHWEST,155.3764,SWIPE,50
67,355,-38,28,NORTHWEST,143.6156,SWIPE,50
33,389,-34,34,NORTHWEST,143.6156,SWIPE,50
19,423,-14,34,NORTH,112.3801,SWIPE,50
23,461,4,38,NORTH,83.991,SWIPE,50
31,473,8,12,NORTHEAST,56.30993,SWIPE,50
51,493,20,20,NORTHEAST,45,SWIPE,50
65,505,14,12,NORTHEAST,40.6013,SWIPE,50
83,517,18,12,NORTHEAST,33.69007,SWIPE,50
89,521,6,4,NORTHEAST,33.69007,SWIPE,50
93,527,4,6,NORTHEAST,56.30993,SWIPE,50
93,529,0,2,NORTH,90,SWIPE,50
SEPARATE   holdFrame = 148
