TOUCH   waitFrame = 183
45,261,0,0,CENTER,0,TOUCH,50
47,245,2,-16,SOUTH,-82.87498,SWIPE,50
47,241,0,-4,SOUTH,-90,SWIPE,50
53,229,6,-12,SOUTHEAST,-63.43495,SWIPE,50
61,221,8,-8,SOUTHEAST,-63.43495,SWIPE,50
85,213,24,-8,EAST,-18.43495,SWIPE,50
125,209,40,-4,EAST,-5.710593,SWIPE,50
191,221,66,12,EAST,10.30485,SWIPE,50
229,247,38,26,NORTHEAST,34.38034,SWIPE,50
261,295,32,48,NORTHEAST,56.30993,SWIPE,50
265,323,4,28,NORTH,81.8699,SWIPE,50
251,357,-14,34,NORTH,112.3801,SWIPE,50
237,367,-14,10,NORTHWEST,144.4623,SWIPE,50
211,373,-26,6,WEST,167.0054,SWIPE,50
189,371,-22,-2,WEST,-174.8056,SWIPE,50
159,351,-30,-20,SOUTHWEST,-146.3099,SWIPE,50
145,335,-14,-16,SOUTHWEST,-131.1859,SWIPE,50
177,255,32,-80,SOUTH,-68.19859,SWIPE,50
177,255,0,0,SOUTH,-68.19859,SWIPE,50
197,239,20,-16,SOUTHEAST,-38.65981,SWIPE,50
249,209,52,-30,SOUTHEAST,-29.98164,SWIPE,50
307,191,58,-18,EAST,-17.24146,SWIPE,50
331,191,24,0,EAST,0,SWIPE,50
331,195,0,4,NORTH,90,SWIPE,50
307,211,-24,16,NORTHWEST,146.3099,SWIPE,50
235,233,-72,22,WEST,163.0092,SWIPE,50
173,245,-62,12,WEST,169.0459,SWIPE,50
77,231,-96,-14,WEST,-171.7029,SWIPE,50
75,189,-2,-42,SOUTH,-92.72632,SWIPE,50
95,165,20,-24,SOUTHEAST,-50.19443,SWIPE,50
145,137,50,-28,SOUTHEAST,-29.24883,SWIPE,50
189,133,44,-4,EAST,-5.194429,SWIPE,50
263,169,74,36,NORTHEAST,25.9423,SWIPE,50
291,203,28,34,NORTHEAST,50.52754,SWIPE,50
303,255,12,52,NORTH,77.00539,SWIPE,50
287,281,-16,26,NORTHWEST,121.6075,SWIPE,50
239,311,-48,30,NORTHWEST,147.9946,SWIPE,50
199,319,-40,8,WEST,168.6901,SWIPE,50
159,319,-40,0,WEST,180,SWIPE,50
109,287,-50,-32,SOUTHWEST,-147.3808,SWIPE,50
95,243,-14,-44,SOUTH,-107.6501,SWIPE,50
107,205,12,-38,SOUTH,-72.47443,SWIPE,50
133,177,26,-28,SOUTHEAST,-47.1211,SWIPE,50
207,153,74,-24,EAST,-17.96914,SWIPE,50
257,153,50,0,EAST,0,SWIPE,50
311,173,54,20,EAST,20.32314,SWIPE,50
323,193,12,20,NORTHEAST,59.03624,SWIPE,50
301,229,-22,36,NORTHWEST,121.4296,SWIPE,50
237,259,-64,30,NORTHWEST,154.8852,SWIPE,50
175,271,-62,12,WEST,169.0459,SWIPE,50
115,273,-60,2,WEST,178.0909,SWIPE,50
51,249,-64,-24,WEST,-159.444,SWIPE,50
39,197,-12,-52,SOUTH,-102.9946,SWIPE,50
59,163,20,-34,SOUTHEAST,-59.53446,SWIPE,50
123,121,64,-42,SOUTHEAST,-33.27489,SWIPE,50
177,107,54,-14,EAST,-14.53446,SWIPE,50
269,121,92,14,EAST,8.652542,SWIPE,50
303,151,34,30,NORTHEAST,41.42367,SWIPE,50
317,185,14,34,NORTH,67.61987,SWIPE,50
305,241,-12,56,NORTH,102.0948,SWIPE,50
279,273,-26,32,NORTHWEST,129.0939,SWIPE,50
207,311,-72,38,NORTHWEST,152.1759,SWIPE,50
159,319,-48,8,WEST,170.5377,SWIPE,50
111,305,-48,-14,WEST,-163.7398,SWIPE,50
97,257,-14,-48,SOUTH,-106.2602,SWIPE,50
109,207,12,-50,SOUTH,-76.50426,SWIPE,50
141,169,32,-38,SOUTHEAST,-49.89909,SWIPE,50
215,133,74,-36,SOUTHEAST,-25.9423,SWIPE,50
269,133,54,0,EAST,0,SWIPE,50
345,167,76,34,NORTHEAST,24.10224,SWIPE,50
363,199,18,32,NORTHEAST,60.64225,SWIPE,50
357,249,-6,50,NORTH,96.84277,SWIPE,50
329,279,-28,30,NORTHWEST,133.0251,SWIPE,50
261,311,-68,32,NORTHWEST,154.7989,SWIPE,50
161,325,-100,14,WEST,172.0304,SWIPE,50
111,317,-50,-8,WEST,-170.9097,SWIPE,50
73,297,-38,-20,SOUTHWEST,-152.2415,SWIPE,50
53,247,-20,-50,SOUTH,-111.8014,SWIPE,50
61,195,8,-52,SOUTH,-81.25384,SWIPE,50
119,137,58,-58,SOUTH,-81.25384,SWIPE,50
177,117,58,-20,EAST,-19.02561,SWIPE,50
275,123,98,6,EAST,3.503532,SWIPE,50
321,147,46,24,NORTHEAST,27.55281,SWIPE,50
